repo_name,commit_date_range,date_difference
hardbyte/python-can,2018-02-18 ~ 2013-05-01,1754
astanin/python-tabulate,2019-09-25 ~ 2013-11-19,2136
mchaput/whoosh,2020-01-22 ~ 2013-07-04,2393
bibsonomy/bibsonomy-python,2016-12-16 ~ 2013-11-06,1136
astanin/python-split,2018-06-29 ~ 2011-10-24,2440
szzoli/ite-in-python,2018-02-20 ~ 2016-11-18,459
mosaik/mosaik-api-python,2019-11-11 ~ 2014-01-08,2133
berkeleylab/atap-ndcxii-python,2020-04-17 ~ 2016-05-18,1430
vinay.sajip/python-gnupg,2020-04-20 ~ 2014-02-07,2264
berkeleylab/als-microct-python,2018-08-15 ~ 2017-01-31,561
jdubray/star-java,2016-10-21 ~ 2015-04-12,558
openclover/clover,2019-12-28 ~ 2017-03-13,1020
mosaik/mosaik-api-java,2019-06-05 ~ 2014-07-31,1770
mstrobel/procyon,2019-10-27 ~ 2013-09-06,2242
cowwoc/requirements.java,2020-03-25 ~ 2017-02-09,1140
chromiumembedded/java-cef,2020-02-27 ~ 2010-12-02,3374
juspay/expresscheckout-java-sdk,2019-12-11 ~ 2016-08-08,1220
b_c/jose4j,2019-11-21 ~ 2015-01-07,1779
atlassian/asap-java,2020-04-17 ~ 2018-04-03,745
robertvazan/sourceafis-java,2020-04-20 ~ 2017-08-12,982
scytalec/scytalec,2020-04-15 ~ 2017-10-13,915
pyglet/pyglet,2019-07-08 ~ 2019-02-16,142
ned/coveragepy,2018-11-13 ~ 2017-03-04,619
sjodogne/orthanc,2020-04-20 ~ 2019-10-30,173
cffi/cffi,2020-02-13 ~ 2017-10-05,861
tildeslash/monit,2020-04-20 ~ 2017-12-22,850
icl/blaspp,2020-04-16 ~ 2018-02-16,790
wlav/cppyy,2020-04-20 ~ 2019-07-24,271
leslielab/hi-c-project,2017-03-23 ~ 2016-01-10,438
sage2/sage2,2020-04-15 ~ 2019-05-24,327
ftrack/ftrack-javascript-api-example-react,2019-09-26 ~ 2016-06-22,1191
joeherold/export-react,2019-07-26 ~ 2018-11-18,250
atlassian/aui-react,2019-10-24 ~ 2016-03-29,1304
bflower/react-intl-editor,2018-12-18 ~ 2016-08-24,846
atlassian/atlaskit-mk-2,2020-02-26 ~ 2019-12-30,58
rude/love,2020-01-12 ~ 2018-01-11,731
openid/mobile,2020-04-14 ~ 2018-08-21,602
bridgefy/react-native-bridgefy-sdk,2019-12-17 ~ 2017-06-09,921
wuzzeb/react-flux,2018-08-09 ~ 2015-07-24,1112
DataspeedInc/oxford_gps_eth,2020-03-22 ~ 2015-10-09,1626
solidfire/angular-dev-test,2019-08-07 ~ 2018-04-26,468
danielprice/phantom,2020-04-20 ~ 2020-01-19,92
wuzzeb/yesod-static-angular,2016-04-11 ~ 2013-08-27,958
hardbyte/angular-tutorial,2013-10-14 ~ 2013-10-02,12
osrf/gazebo,2020-04-20 ~ 2020-01-16,95
fiehnlab/angular-cts-service,2016-09-22 ~ 2014-06-25,820
bgoetzmann/odelia-grails-angular,2015-12-31 ~ 2015-12-09,22
fiehnlab/angular-msp-parser,2016-01-05 ~ 2014-06-18,566
connect2id/connect2id-login-angularjs,2019-04-25 ~ 2017-04-05,750
Unity-Technologies/ml-imagesynthesis,2017-03-17 ~ 2016-12-30,77
ddreaper/unity-ui-extensions,2017-03-31 ~ 2015-02-02,788
Unity-Technologies/graphicsdemos,2019-09-03 ~ 2016-05-27,1194
Unity-Technologies/ui,2019-06-07 ~ 2014-11-12,1668
Unity-Technologies/memoryprofiler,2017-10-13 ~ 2015-09-27,747
Unity-Technologies/unity-arkit-plugin,2019-09-13 ~ 2017-06-05,830
Unity-Technologies/repro-project-wizard,2018-07-26 ~ 2016-08-23,702
Unity-Technologies/assetbundlegraphtool,2020-03-03 ~ 2017-09-14,901
Unity-Technologies/unitytesttools,2017-03-09 ~ 2014-08-18,934
leito/vue-spring-boot-demo,2018-05-16 ~ 2018-05-16,0
nedkelly/vue-app,2017-01-19 ~ 2016-11-03,77
sage2/sage2cloud,2017-11-30 ~ 2017-01-18,316
solidfire/vue-ntap,2019-03-22 ~ 2018-12-01,111
alex_sterling/vue.js-demonstration,2016-02-10 ~ 2016-01-21,20
microsabio/apn,2019-08-22 ~ 2014-07-08,1871
nobiki/vue-test,2018-02-13 ~ 2018-02-08,5
ryanmr/vue-playground,2015-11-10 ~ 2015-09-16,55
admik/vue-signature-pad,2019-03-20 ~ 2018-01-10,434
pai/django-esb-vue-mixins,2019-01-30 ~ 2019-01-30,0
icl/magma,2020-04-20 ~ 2018-10-25,543
biobakery/anadama_workflows,2016-03-31 ~ 2014-08-07,602
atlassian/jgit-flow,2015-09-23 ~ 2014-04-29,512
ompl/ompl,2019-09-05 ~ 2018-04-29,494
pytest-dev/pytest-xdist,2015-12-01 ~ 2010-01-13,2148
hascode/karate-bdd-testing,2017-06-25 ~ 2017-02-12,133
rflechner/raspberrycam,2015-10-31 ~ 2012-10-10,1116
extasy-project/tutorial-edinburgh2016,2016-04-27 ~ 2016-04-27,0
osrf/gazebo_tutorials,2020-04-20 ~ 2018-03-12,770
bibsonomy/bibsonomy,2020-04-07 ~ 2018-12-19,475
scicompanat/pyca,2017-10-30 ~ 2013-11-06,1454
mordentral/vrexpansionplugin,2020-04-11 ~ 2019-01-13,454
Coin3D/coin,2019-12-23 ~ 2018-07-11,530
semiodesk/trinity,2019-06-24 ~ 2015-06-26,1459
genomicepidemiology/machine-learning,2017-06-02 ~ 2017-06-01,1
andrewpeterson/amp,2020-04-15 ~ 2018-03-29,748
Michael_Kamp/decentralized-machine-learning,2018-07-04 ~ 2018-04-19,76
polimi-ispl/facies-classification-using-machine-learning,2017-03-31 ~ 2017-03-31,0
uwtppml/lynx,2019-12-06 ~ 2018-05-21,564
dani_thomas/aiy-machine-learning,2017-08-04 ~ 2017-08-02,2
lbesson/mva15-project-graph-reinforcement-learning,2016-02-19 ~ 2015-11-10,101
yarosla/nxweb,2015-11-18 ~ 2011-11-29,1450
snakemake/snakemake,2019-10-07 ~ 2018-11-21,320
lumeng/univ-washington-machine-learning-python-virtualenv,2017-12-03 ~ 2016-03-23,620
JeanLucPicard/nxt,2017-08-13 ~ 2016-09-28,319
Jelurida/ardor,2019-11-05 ~ 2017-12-30,675
JeanLucPicard/nxt-public,2014-03-01 ~ 2014-01-02,58
Doctor_McKay/blockchain.info-whmcs-payment-gateway,2015-10-28 ~ 2013-07-29,821
nerva-project/explorer,2020-02-24 ~ 2019-03-16,345
ged/blockchain,2018-01-10 ~ 2017-12-22,19
Jelurida/nxt-clone-starter,2019-02-05 ~ 2017-08-21,533
designisdead/blockchain-explorer,2018-10-12 ~ 2018-09-27,15
andreasellervee/blockchain-seminar,2017-01-09 ~ 2016-11-15,55
jdriven/workshop-kotlin-blockchain-application,2019-12-13 ~ 2018-02-25,656
cmbce/covid19,2020-04-16 ~ 2020-03-21,26
secuoyas/covid-19-es-data,2020-04-20 ~ 2020-03-17,34
kkd/covid19_plots,2020-04-20 ~ 2020-03-24,27
petrkajzar/covid19-shiny-app,2020-04-13 ~ 2020-03-24,20
julianvogels/nachbarschaftshilfe-covid-19,2020-03-30 ~ 2020-03-21,9
gluon-oss/samples,2017-04-19 ~ 2015-07-14,645
MaxPfeiffer/letyourbodymove,2020-04-06 ~ 2015-09-30,1650
atlassianlabs/atlascode,2020-04-20 ~ 2020-02-03,77
matsurago/jpf-mobile-devices,2017-03-11 ~ 2016-04-26,319
togiles/lightshowpi,2019-12-20 ~ 2016-10-17,1159
secure-it-i/android-app-vulnerability-benchmarks,2019-11-19 ~ 2018-08-09,467
crisu83/yii-bootstrap,2013-04-26 ~ 2011-12-25,488
Lombiq/responsive-pretty-good-base-theme,2016-12-30 ~ 2013-02-02,1427
wwuweb/lite-responsive-template,2019-12-17 ~ 2013-07-18,2343
jsuto/piler,2020-04-18 ~ 2017-09-22,939
jetshopdesign/responsive-base,2020-04-09 ~ 2017-09-25,927
windirstat/windirstat,2019-11-23 ~ 2012-10-23,2587
TeamRadHQ/trhq-vue-responsive-tabs,2017-07-30 ~ 2017-07-29,1
mid0111/menu-responsive-sample,2014-07-12 ~ 2014-07-11,1
michaelb/godot-responsive,2017-03-07 ~ 2017-03-01,6
myle/artificial-intelligence,2010-05-28 ~ 2010-05-28,0
szzoli/ite,2018-05-09 ~ 2012-10-10,2037
temn/nordlinglab-ai-public,2019-05-23 ~ 2018-05-27,361
satt/pasu-instances,2012-05-21 ~ 2012-05-21,0
snagavallis/lunar-lockout-pddl,2014-10-14 ~ 2014-10-11,3
temn/nordlinglab-introai,2020-04-20 ~ 2020-03-29,22
piedenis/lea,2020-04-12 ~ 2015-11-22,1603
wesleyto/cs188,2013-05-17 ~ 2013-05-16,1
petrospapapa/isabelle-light,2018-12-27 ~ 2014-12-17,1471
hxcan/englishresumeai,2017-01-02 ~ 2016-12-28,5
makiftasova/cse463-introduction-to-computer-vision,2016-01-10 ~ 2015-11-08,63
hintdesk/dotnet-project-oxford-computer-vision-api-ocr,2016-02-03 ~ 2016-02-03,0
eigen/eigen,2019-12-04 ~ 2016-11-23,1106
pmocz/computer-vision-ism,2014-12-08 ~ 2014-11-05,33
ueacomputervision/image-labelling-tool,2020-03-17 ~ 2015-04-29,1784
computervision/computer-vision-summary,2019-08-20 ~ 2019-08-20,0
pitrtw/microsoft-ocr-computer-vision-api,2017-01-17 ~ 2017-01-16,1
computervision/computer-vision,2014-07-22 ~ 2014-04-10,103
vguizilini/cvpp,2018-04-16 ~ 2016-01-17,820
chrisnatale/ihtai,2016-06-14 ~ 2015-01-18,513
murixteam/dronespersonalizados,2015-12-11 ~ 2015-12-11,0
glotzer/hoomd-blue,2019-08-19 ~ 2019-04-02,139
HR_ELEKTRO/cxx01,2019-11-07 ~ 2016-10-02,1131
edd/sigfwd,2012-02-25 ~ 2010-07-05,600
jhove2/main,2013-03-11 ~ 2010-09-06,917
zastrowm/nunit.applicationdomain,2020-01-01 ~ 2013-06-22,2384
unipv_cvmlab/deep-learning-and-tensorflow-a-short-course-for-phd-students,2019-06-10 ~ 2018-06-06,369
KNIME/knime-deeplearning,2020-04-17 ~ 2018-07-25,632
tsendeemts/deeptext,2016-02-08 ~ 2014-11-28,437
Netzeband/deepdriving,2018-07-01 ~ 2018-03-30,93
abhijit038/deep-learning-for-managing-renewable-energy-generation,2019-10-06 ~ 2019-09-26,10
problog/deepproblog,2020-03-24 ~ 2018-10-26,515
petebunting/rsgislib,2020-04-02 ~ 2018-08-30,581
tamuc-hpc-lab/hpc-lab-admin,2014-12-17 ~ 2014-09-04,104
waterreaction/giraffe,2016-11-05 ~ 2015-07-02,492
zzy7896321/deep-learning,2015-08-02 ~ 2015-07-16,17
landwatersun/forum,2019-12-24 ~ 2019-10-05,80
chromiumembedded/cef,2020-04-20 ~ 2019-09-20,213
biobakery/kneaddata,2020-04-07 ~ 2015-07-10,1733
phpliteadmin/public,2019-11-04 ~ 2013-03-25,2415
biobakery/metaphlan2,2020-02-25 ~ 2016-07-18,1317
sjodogne/orthanc-databases,2020-03-12 ~ 2018-07-04,617
biobakery/biobakery,2019-11-21 ~ 2013-12-10,2172
cmutel/brightway2-data,2020-03-26 ~ 2016-03-07,1480
openid/heart,2018-07-08 ~ 2015-03-16,1210
iwseclabs/bta,2016-03-25 ~ 2013-05-06,1054
jhtsnu/computer-security,2013-12-12 ~ 2013-09-19,84
iwseclabs/elfesteem,2017-03-08 ~ 2008-09-05,3106
iwseclabs/rebus,2017-02-17 ~ 2014-12-18,792
iwseclabs/c2newspeak,2017-05-30 ~ 2011-01-21,2321
iwseclabs/wifitap,2013-01-31 ~ 2013-01-31,0
iwseclabs/gunpack,2016-06-01 ~ 2015-10-14,231
iwseclabs/scapy,2013-09-04 ~ 2009-04-30,1588
pmesmeur/sketch.it,2019-09-05 ~ 2018-01-02,611
atlassian/atlasboard,2019-08-05 ~ 2014-08-05,1826
sparre/gopher-concurrency-exercises,2018-08-01 ~ 2013-11-25,1710
sylvanaar2/lua-for-idea,2020-01-19 ~ 2014-03-27,2124
atlassian/confluence-advanced-macros-plugin,2016-06-21 ~ 2014-12-02,567
atlassian/atlassian-util-concurrent,2018-11-13 ~ 2011-05-27,2727
laceous/yourls-concurrency-fix,2012-01-19 ~ 2012-01-13,6
javafxports/android,2014-02-06 ~ 2013-10-25,104
ncoghlan/misc,2020-03-07 ~ 2012-09-28,2717
