repo_name,commit_date_range,date_difference
tensorflow/tensorflow,2020-04-20 ~ 2020-04-15,5
CyC2018/CS-Notes,2020-02-29 ~ 2019-06-09,265
donnemartin/system-design-primer,2020-03-30 ~ 2017-02-26,1128
jackfrued/Python-100-Days,2020-04-08 ~ 2018-03-01,769
vinta/awesome-python,2020-04-17 ~ 2018-01-17,821
justjavac/free-programming-books-zh_CN,2020-04-11 ~ 2015-07-21,1726
nvbn/thefuck,2020-04-06 ~ 2017-03-22,1111
pallets/flask,2020-04-16 ~ 2018-09-29,565
keras-team/keras,2019-11-06 ~ 2019-02-22,257
jakubroztocil/httpie,2020-04-20 ~ 2016-10-26,1272
airbnb/javascript,2020-02-20 ~ 2017-10-16,857
Snailclimb/JavaGuide,2020-04-20 ~ 2019-12-02,140
trekhleb/javascript-algorithms,2019-12-07 ~ 2018-07-05,520
iluwatar/java-design-patterns,2020-03-28 ~ 2018-08-23,583
elastic/elasticsearch,2020-04-20 ~ 2020-04-06,14
spring-projects/spring-boot,2020-04-20 ~ 2020-03-30,21
kdn251/interviews,2019-09-27 ~ 2017-04-08,902
ReactiveX/RxJava,2020-04-14 ~ 2018-08-09,614
doocs/advanced-java,2020-04-20 ~ 2019-01-17,459
RomuloOliveira/commit-messages-guide,2020-03-24 ~ 2018-02-25,758
una/CSSgram,2016-11-12 ~ 2015-09-26,413
doctrine/collections,2020-02-05 ~ 2013-12-18,2240
gavinkwoe/weapp-ide-crack,2017-01-10 ~ 2016-09-22,110
pkluz/PKRevealController,2015-12-07 ~ 2011-12-20,1448
Coding/Coding-iOS,2019-05-23 ~ 2016-12-20,884
lzyzsd/CircleProgress,2020-03-21 ~ 2014-10-30,1969
raywenderlich/objective-c-style-guide,2014-04-07 ~ 2013-11-07,151
trailblazer/cells,2019-07-29 ~ 2015-05-26,1525
zeit/create-next-app,2019-07-18 ~ 2017-04-26,813
freeCodeCamp/freeCodeCamp,2020-04-20 ~ 2020-01-09,102
facebook/react,2020-04-20 ~ 2020-02-21,59
facebook/react-native,2020-04-20 ~ 2020-03-10,41
facebook/create-react-app,2020-04-15 ~ 2019-05-07,344
ant-design/ant-design,2020-04-20 ~ 2020-03-22,29
mui-org/material-ui,2020-04-20 ~ 2020-03-10,41
storybookjs/storybook,2020-04-20 ~ 2020-04-04,16
zeit/next.js,2020-04-20 ~ 2020-03-19,32
gatsbyjs/gatsby,2020-04-20 ~ 2020-03-31,20
angular/angular,2020-04-20 ~ 2020-03-04,47
angular/angular.js,2020-04-14 ~ 2018-01-19,816
gothinkster/realworld,2020-04-06 ~ 2017-04-23,1079
prettier/prettier,2020-04-20 ~ 2020-02-14,66
leonardomso/33-js-concepts,2020-04-19 ~ 2018-10-21,546
johnpapa/angular-styleguide,2017-12-02 ~ 2015-08-12,843
angular/angular-cli,2020-04-16 ~ 2020-01-31,76
SheetJS/sheetjs,2020-04-20 ~ 2014-05-22,2160
icsharpcode/ILSpy,2020-04-20 ~ 2019-11-10,162
microsoft/AirSim,2020-04-14 ~ 2019-05-07,343
Unity-Technologies/ml-agents,2020-04-20 ~ 2020-02-14,66
Unity-Technologies/UnityCsReference,2020-04-14 ~ 2017-03-13,1128
lettier/3d-game-shaders-for-beginners,2019-05-12 ~ 2019-05-12,0
Tencent/xLua,2020-04-20 ~ 2018-04-18,733
sschmid/Entitas-CSharp,2019-02-20 ~ 2017-11-08,469
neuecc/UniRx,2020-04-17 ~ 2016-06-29,1388
anmoljagetia/Flatabulous,2017-10-20 ~ 2015-06-25,848
Unity-Technologies/FPSSample,2019-03-14 ~ 2018-10-17,148
vuejs/vue,2020-04-07 ~ 2019-01-09,454
vuejs/awesome-vue,2020-04-20 ~ 2020-03-16,35
PanJiaChen/vue-element-admin,2020-04-04 ~ 2018-09-28,554
ionic-team/ionic,2020-04-17 ~ 2019-12-05,134
vuejs/vuex,2020-04-20 ~ 2017-09-18,945
dcloudio/uni-app,2020-04-20 ~ 2020-03-24,27
SortableJS/Sortable,2020-04-14 ~ 2016-11-17,1244
Meituan-Dianping/mpvue,2019-08-05 ~ 2017-06-16,780
liyasthomas/postwoman,2020-04-20 ~ 2020-02-25,55
puppeteer/puppeteer,2020-04-20 ~ 2019-03-05,412
h5bp/Front-end-Developer-Interview-Questions,2020-04-20 ~ 2015-02-03,1903
goldbergyoni/nodebestpractices,2020-04-06 ~ 2019-11-29,129
facebook/jest,2020-04-20 ~ 2019-09-24,209
localstack/localstack,2020-04-20 ~ 2019-10-07,196
yangshun/front-end-interview-handbook,2020-04-13 ~ 2017-10-18,908
cypress-io/cypress,2020-04-20 ~ 2020-01-07,104
mochajs/mocha,2020-04-20 ~ 2018-06-26,664
enzymejs/enzyme,2020-04-14 ~ 2019-01-27,443
RitikPatni/Front-End-Web-Development-Resources,2020-03-11 ~ 2017-08-17,937
wpcfan/awesome-tutorials,2017-09-01 ~ 2016-11-23,282
Xtremilicious/ProjectLearn-Project-Based-Learning,2020-04-20 ~ 2020-03-05,46
cdnjs/tutorials,2020-04-03 ~ 2015-05-31,1769
osteel/docker-tutorial,2020-04-02 ~ 2015-12-18,1567
adamtornhill/LispForTheWeb,2015-05-26 ~ 2014-01-04,507
amigojapan/3dpl,2015-02-26 ~ 2013-02-10,746
bigbitbus/k8s-tutorial-python,2019-02-25 ~ 2018-11-06,111
